Price,Color,Mileage,Make,Model,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Year
2800000.0,Dark grey,300,Kia,Sportage,2024-02-16,Yes,Yes,Yes,Yes,2024
1200000.0,Petroleum,131000,Fiat,Tipo,2024-02-16,Yes,Yes,Yes,Yes,2021
2050000.0,Black,125000,Hyundai,Tucson Turbo GDI,2024-02-16,Yes,Yes,Yes,Yes,2021
2050000.0,Gray,84000,BMW,X1,2024-02-16,Yes,Yes,Yes,Yes,2018
700000.0,Blue,75000,Chevrolet,Optra,2024-02-16,Yes,Yes,Yes,Yes,2021
700000.0,Silver,25000,Chery,Arrizo 5,2024-02-16,No,No,No,No,2021
1950000.0,Blue,33000,Kia,Sportage,2024-02-16,Yes,Yes,Yes,Yes,2022
400000.0,Black,238000,Hyundai,Verna,2024-02-16,No,Yes,Yes,Yes,2014
870000.0,Brown,99000,Ford,Focus,2024-02-16,Yes,Yes,Yes,Yes,2018
575000.0,Silver,262000,Nissan,Tiida,2024-02-16,No,No,No,No,2011
640000.0,Silver,180000,Mitsubishi,Lancer Puma,2024-02-16,Yes,No,No,No,2014
1900000.0,Black,98000,Opel,Grandland,2024-02-16,Yes,Yes,Yes,Yes,2022
830000.0,Red,67000,Nissan,Sunny,2024-02-16,Yes,Yes,Yes,Yes,2022
150000.0,White,180000,Fiat,Uno,2024-02-16,No,No,No,No,2001
325000.0,Gray,253000,Kia,Spectra,2024-02-16,Yes,No,No,No,2002
650000.0,Black,199000,Toyota,Corolla,2024-02-16,No,No,No,No,2008
900000.0,White,240000,Jac,J3,2024-02-16,Yes,No,No,No,2021
3000000.0,Dark grey,,Skoda,Kodiaq,2024-02-16,Yes,Yes,Yes,Yes,2023
1170000.0,Black,48000,MG,5,2024-02-16,Yes,Yes,Yes,Yes,2022
285000.0,White,175000,Hyundai,Verna,2024-02-16,No,No,Yes,Yes,2010
1500000.0,Black,82500,Toyota,Corolla,2024-02-16,Yes,Yes,Yes,Yes,2021
650000.0,White,150000,Nissan,Sunny,2024-02-16,Yes,Yes,Yes,Yes,2022
140000.0,Red,85000,Chevrolet,Optra,2024-02-16,Yes,No,No,No,2022
430000.0,Black,200000,Skoda,Octavia A4,2024-02-16,Yes,No,No,No,2003
280000.0,Dark blue,198000,Daewoo,Nubira 2,2024-02-16,Yes,Yes,Yes,Yes,2004
240000.0,Silver,250000,Kia,Sephia,2024-02-16,No,Yes,No,Yes,2000
300000.0,Red,37000,Changan,Benni,2024-02-16,Yes,Yes,No,No,2016
1000000.0,Silver,96500,Opel,Astra,2024-02-16,No,No,No,No,2020
950000.0,Dark grey,70000,Chery,Tiggo 3,2024-02-16,Yes,Yes,Yes,Yes,2022
1650000.0,Dark grey,145000,Mercedes,E 250,2024-02-16,Yes,Yes,Yes,Yes,2010
800000.0,Mocha,100000,Kia,Forte,2024-02-16,No,No,No,No,2010
660000.0,Silver,300000,Jeep,Liberty,2024-02-16,Yes,Yes,Yes,No,2006
680000.0,Black,220000,Daihatsu,Grand terios,2024-02-16,No,No,No,No,2009
340000.0,Brown,63000,Lada,1500,2024-02-16,No,No,No,No,2020
550000.0,Black,170000,Citroën,C4 Picasso,2024-02-16,Yes,Yes,Yes,Yes,2008
480000.0,Dark grey,149000,Byd,F3,2024-02-16,No,Yes,Yes,Yes,2020
620000.0,Brown,62000,Renault,Logan,2024-02-16,Yes,Yes,Yes,Yes,2019
2450000.0,Petroleum,,Honda,Accord,2024-02-16,Yes,Yes,Yes,Yes,2022
630000.0,Silver,140000,Kia,Cerato,2024-02-16,Yes,Yes,No,No,2011
1100000.0,White,150000,Jeep,Renegade,2024-02-16,Yes,Yes,Yes,Yes,2017
380000.0,Dark grey,300000,Hyundai,Verna,2024-02-16,No,Yes,Yes,Yes,2012
3800000.0,Black,87000,Mercedes,E 200,2024-02-16,Yes,Yes,Yes,Yes,2020
1175000.0,White,48000,MG,ZS,2024-02-16,Yes,Yes,Yes,Yes,2022
735000.0,White,320000,Mercedes,C 200,2024-02-16,Yes,Yes,No,Yes,2002
1800000.0,Black,55000,Kia,Sportage,2024-02-16,Yes,Yes,Yes,Yes,2021
650000.0,Silver,85000,Nissan,Sunny,2024-02-16,Yes,Yes,Yes,Yes,2019
510000.0,Black,168000,Fiat,Punto,2024-02-16,No,No,No,No,2010
1000200.0,Red,29000,Opel,Astra,2024-02-16,Yes,Yes,Yes,Yes,2019
140000.0,Blue,100000,Fiat,128,2024-02-16,No,No,No,No,1999
1950000.0,Black,27000,Seat,Ibiza,2024-02-16,Yes,Yes,Yes,Yes,2023
550000.0,Red,165000,Byd,F3,2024-02-16,No,Yes,Yes,Yes,2021
780000.0,Black,157000,Mitsubishi,Lancer EX Shark,2024-02-16,No,No,No,No,2016
950000.0,Bronze,165000,Jeep,Cherokee,2024-02-16,No,No,No,No,2010
